Reference,Value,Footprint,Quantity
"C10 C2 C3 C4 C5 C7 C8","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",7
"R1 R2 R3 R4 R5 R6","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",6
"C1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",1
"R11","120K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",1
"R7 R9","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",2
"R10 R8","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",2
"J16","220V IN","PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal",1
"C11","22uFx16V","CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder",1
"C9","47uFxx35V","CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder",1
"F1","500mA","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",1
"U5","AMS1117-3.3","SOT-223-3_TabPin2",1
"Q1 Q2","BTA16-800B","TO-220-3_Vertical",2
"J12","DAC","Molex_SL_171971-0003_1x03_P2.54mm_Vertical",1
"BR1","DB107S","DIOB_DB107S",1
"REF** REF**","ESD-Logo_22x20mm_SilkScreen","ESD-Logo_22x20mm_SilkScreen",2
"U1","ESP32-WROOM-32D","ESP32-WROOM-32D",1
"PS1","HLK-10M05","Converter_ACDC_Hi-Link_HLK-10Mxx",1
"U6","HW-613","HW-613",1
"J11","I2C","Molex_SL_171971-0004_1x04_P2.54mm_Vertical",1
"J17","In12V","BarrelJack_Horizontal",1
"J2","Input1","Molex_SL_171971-0002_1x02_P2.54mm_Vertical",1
"J3","Input2","Molex_SL_171971-0002_1x02_P2.54mm_Vertical",1
"J4","Input3","Molex_SL_171971-0002_1x02_P2.54mm_Vertical",1
"J5","Input4","Molex_SL_171971-0002_1x02_P2.54mm_Vertical",1
"J6","LED","Molex_SL_171971-0003_1x03_P2.54mm_Vertical",1
"U2 U3","MOC3041M","SMDIP-6_W9.53mm",2
"J9","Motor_A","Molex_SL_171971-0004_1x04_P2.54mm_Vertical",1
"J10","Motor_B","Molex_SL_171971-0004_1x04_P2.54mm_Vertical",1
"J1","PROG","PinHeader_2x03_P2.54mm_Vertical",1
"J7","Reset","PinHeader_1x02_P2.54mm_Vertical",1
"J8","SPI","PinHeader_1x06_P2.54mm_Vertical",1
"U4","TLP181","SOIC-4_4.55x3.7mm_P2.54mm",1
"J14","TRIAC OUT_A","PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal",1
"J15","TRIAC OUT_B","PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal",1
"J13","UART2","Molex_SL_171971-0003_1x03_P2.54mm_Vertical",1
